timestamp,Open,High,Low,Close,Volume,SMA_trend,RSI,is_uptrend,is_dip,is_overbought,buy_condition,sell_condition,position,position_change,buy_signal,sell_signal,daily_price_return,daily_return,cumulative_return,buy_hold_return
2018-01-01,19278000.0,19420000.0,18290000.0,18860000.0,27949.67613401,,,False,False,False,False,True,0,,False,False,,,,1.0
2018-01-02,18875000.0,21720000.0,18510000.0,20263000.0,41968.47300909,,,False,False,False,False,True,0,0.0,False,False,0.07439024390243909,0.0,1.0,1.074390243902439
2018-01-03,20263000.0,21329000.0,19520000.0,20900000.0,43168.2576045,,,False,False,False,False,True,0,0.0,False,False,0.03143660859695019,0.0,1.0,1.1081654294803818
2018-01-04,20899000.0,23685000.0,19700000.0,23402000.0,45192.45174241,,,False,False,False,False,True,0,0.0,False,False,0.119712918660287,0.0,1.0,1.2408271474019088
2018-01-05,23403000.0,28589000.0,22338000.0,27444000.0,56774.8498417,,,False,False,False,False,True,0,0.0,False,False,0.17272028031792153,0.0,1.0,1.4551431601272535
2018-01-06,27451000.0,28885000.0,23966000.0,26924000.0,48971.92813081,,,False,False,False,False,True,0,0.0,False,False,-0.018947675265996167,0.0,1.0,1.4275715800636268
2018-01-07,26924000.0,27210000.0,24543000.0,25859000.0,31015.72258622,,,False,False,False,False,True,0,0.0,False,False,-0.03955578665874315,0.0,1.0,1.371102863202545
2018-01-08,25859000.0,26449000.0,23850000.0,25230000.0,44839.78332164,,,False,False,False,False,True,0,0.0,False,False,-0.02432421980741717,0.0,1.0,1.3377518557794275
2018-01-09,25200000.0,25786000.0,22858000.0,24016000.0,41558.52968619,,,False,False,False,False,True,0,0.0,False,False,-0.048117320650019835,0.0,1.0,1.2733828207847295
2018-01-10,24015000.0,24200000.0,19689000.0,21317000.0,43736.28693252,,,False,False,False,False,True,0,0.0,False,False,-0.11238341105929384,0.0,1.0,1.1302757158006362
2018-01-11,21300000.0,21890000.0,14104000.0,19389000.0,61924.52562032,,,False,False,False,False,True,0,0.0,False,False,-0.09044424637613169,0.0,1.0,1.028048780487805
2018-01-12,19359000.0,21143000.0,18005000.0,20745000.0,43734.14210793,,,False,False,False,False,True,0,0.0,False,False,0.06993656196812625,0.0,1.0,1.099946977730647
2018-01-13,20750000.0,21399000.0,19886000.0,21135000.0,30172.38452901,,,False,False,False,False,True,0,0.0,False,False,0.018799710773680367,0.0,1.0,1.1206256627783668
2018-01-14,21130000.0,21299000.0,18131000.0,19206000.0,30105.53009772,,50.85162941813528,False,False,False,False,True,0,0.0,False,False,-0.09127040454222857,0.0,1.0,1.0183457051961824
2018-01-15,19210000.0,20143000.0,18201000.0,19106000.0,29582.95249892,,50.602527677084346,False,False,False,False,True,0,0.0,False,False,-0.0052067062376340845,0.0,1.0,1.0130434782608695
2018-01-16,19107000.0,19219000.0,11543000.0,14279000.0,59293.11406178,,37.44861146069301,False,True,False,False,True,0,0.0,False,False,-0.2526431487490841,0.0,1.0,0.7571049840933192
2018-01-17,14279000.0,15722000.0,11901000.0,14951000.0,60203.17701055,,37.54031751350899,False,True,False,False,True,0,0.0,False,False,0.0470621191960221,0.0,1.0,0.7927359490986214
2018-01-18,14954000.0,16370000.0,13650000.0,14880000.0,44001.92022842,,30.127786587072094,False,True,False,False,True,0,0.0,False,False,-0.004748846231021342,0.0,1.0,0.7889713679745494
2018-01-19,14879000.0,15448000.0,14352000.0,15372000.0,27555.99477285,,16.264252179745142,False,True,False,False,True,0,0.0,False,False,0.03306451612903216,0.0,1.0,0.8150583244962885
2018-01-20,15370000.0,17208000.0,15225000.0,16858000.0,51147.45641776,,23.311061618411287,False,True,False,False,True,0,0.0,False,False,0.09666926880041626,0.0,1.0,0.8938494167550372
2018-01-21,16852000.0,16943000.0,13735000.0,14640000.0,44140.37058853,,21.967917645295074,False,True,False,False,True,0,0.0,False,False,-0.1315695812077352,0.0,1.0,0.7762460233297985
2018-01-22,14640000.0,14910000.0,12981000.0,13944000.0,30529.67525826,,21.894611017033583,False,True,False,False,True,0,0.0,False,False,-0.04754098360655734,0.0,1.0,0.7393425238600212
2018-01-23,13968000.0,14044000.0,12311000.0,13141000.0,28032.38238629,,22.352163522652162,False,True,False,False,True,0,0.0,False,False,-0.057587492828456655,0.0,1.0,0.6967656415694592
2018-01-24,13139000.0,13780000.0,12600000.0,13450000.0,24236.06233141,,27.232737165017085,False,True,False,False,True,0,0.0,False,False,0.023514192222814145,0.0,1.0,0.7131495227995758
2018-01-25,13450000.0,13900000.0,12800000.0,12973000.0,18943.75635587,,29.729558953620625,False,True,False,False,True,0,0.0,False,False,-0.03546468401486991,0.0,1.0,0.6878579003181337
2018-01-26,12973000.0,13350000.0,11500000.0,12876000.0,30279.96147663,,22.990320587629583,False,True,False,False,True,0,0.0,False,False,-0.007477067756108791,0.0,1.0,0.6827147401908802
2018-01-27,12876000.0,13132000.0,12300000.0,12900000.0,18535.39984957,,21.00556298852193,False,True,False,False,True,0,0.0,False,False,0.0018639328984155767,0.0,1.0,0.6839872746553552
2018-01-28,12903000.0,13570000.0,12810000.0,13352000.0,20508.73672486,,26.99622760138321,False,True,False,False,True,0,0.0,False,False,0.03503875968992243,0.0,1.0,0.7079533404029692
2018-01-29,13351000.0,13489000.0,12560000.0,12909000.0,15844.07278917,,26.28759470421673,False,True,False,False,True,0,0.0,False,False,-0.033178550029958065,0.0,1.0,0.6844644750795335
2018-01-30,12909000.0,12957000.0,11310000.0,11627000.0,21206.17024434,,36.07435412728418,False,True,False,False,True,0,0.0,False,False,-0.09931055852505999,0.0,1.0,0.6164899257688229
2018-01-31,11658000.0,11900000.0,10400000.0,11429000.0,23175.02109439,,30.537135278514583,False,True,False,False,True,0,0.0,False,False,-0.017029328287606393,0.0,1.0,0.6059915164369035
2018-02-01,11439000.0,11490000.0,10011000.0,10070000.0,22225.67551126,,26.731811145510846,False,True,False,False,True,0,0.0,False,False,-0.11890804094846441,0.0,1.0,0.5339342523860021
2018-02-02,10061000.0,10120000.0,7830000.0,9410000.0,52018.46095277,,21.620335110434112,False,True,False,False,True,0,0.0,False,False,-0.06554121151936443,0.0,1.0,0.49893955461293743
2018-02-03,9410000.0,10200000.0,8400000.0,9520000.0,25405.73722415,,9.804995617879044,False,True,False,False,True,0,0.0,False,False,0.011689691817215797,0.0,1.0,0.5047720042417816
2018-02-04,9524000.0,10158000.0,8765000.0,8900000.0,18781.02389914,,11.885790172642757,False,True,False,False,True,0,0.0,False,False,-0.06512605042016806,0.0,1.0,0.471898197242842
2018-02-05,8900000.0,9250000.0,7715000.0,7832000.0,20709.59917348,,11.326246519868391,False,True,False,False,True,0,0.0,False,False,-0.12,0.0,1.0,0.415270413573701
2018-02-06,7831000.0,8698000.0,6620000.0,8642000.0,44456.45172294,,21.557719054242014,False,True,False,False,True,0,0.0,False,False,0.10342185903983658,0.0,1.0,0.4582184517497349
2018-02-07,8646000.0,9199000.0,7990000.0,8387000.0,33928.15634331,,17.77211966900063,False,True,False,False,True,0,0.0,False,False,-0.029507058551261234,0.0,1.0,0.44469777306468716
2018-02-08,8410000.0,9690000.0,8410000.0,9480000.0,38113.82546535,,29.382599456970837,False,True,False,False,True,0,0.0,False,False,0.13032073447001302,0.0,1.0,0.5026511134676565
2018-02-09,9479000.0,9934000.0,9041000.0,9929000.0,29459.15309411,,33.29933129321094,False,True,False,False,True,0,0.0,False,False,0.04736286919831234,0.0,1.0,0.5264581124072111
2018-02-10,9929000.0,10656000.0,9475000.0,9959000.0,33057.11964565,,33.344659644353825,False,True,False,False,True,0,0.0,False,False,0.0030214523114109326,0.0,1.0,0.5280487804878049
