timestamp,returns,cumulative
2018-01-01,0.0,1.0
2018-01-02,0.0,1.0
2018-01-03,0.0,1.0
2018-01-04,0.0,1.0
2018-01-05,0.0,1.0
2018-01-06,0.0,1.0
2018-01-07,0.0,1.0
2018-01-08,0.0,1.0
2018-01-09,0.0,1.0
2018-01-10,0.0,1.0
2018-01-11,0.0,1.0
2018-01-12,0.0,1.0
2018-01-13,0.0,1.0
2018-01-14,0.0,1.0
2018-01-15,0.0,1.0
2018-01-16,0.0,1.0
2018-01-17,0.0,1.0
2018-01-18,0.0,1.0
2018-01-19,0.0,1.0
2018-01-20,0.0,1.0
2018-01-21,0.0,1.0
2018-01-22,0.0,1.0
2018-01-23,0.0,1.0
2018-01-24,0.0,1.0
2018-01-25,0.0,1.0
2018-01-26,0.0,1.0
2018-01-27,0.0,1.0
2018-01-28,0.0,1.0
2018-01-29,0.0,1.0
2018-01-30,0.0,1.0
2018-01-31,0.0,1.0
2018-02-01,0.0,1.0
2018-02-02,0.0,1.0
2018-02-03,0.0,1.0
2018-02-04,0.0,1.0
2018-02-05,0.0,1.0
2018-02-06,0.0,1.0
2018-02-07,0.0,1.0
2018-02-08,0.0,1.0
2018-02-09,0.0,1.0
2018-02-10,0.0,1.0
2018-02-11,0.0,1.0
2018-02-12,0.0,1.0
2018-02-13,0.0,1.0
2018-02-14,0.0,1.0
2018-02-15,0.0,1.0
2018-02-16,-0.0005,0.9995
2018-02-17,0.018277787471645435,1.0177686485779098
2018-02-18,-0.006788617886178849,1.0108594061261817
2018-02-19,0.014269597192044126,1.0252839626693913
2018-02-20,0.017768203020001594,1.0435014162712526
2018-02-21,-0.013525981694715083,1.0293870352163583
2018-02-22,-0.0205228248146703,1.0082611054261201
2018-02-23,0.006418430672447517,1.014732559431023
2018-02-24,-0.010609200165768745,1.0039670585932965
2018-02-25,-0.0074895265299056435,0.9964478206728107
2018-02-26,0.0,0.9964478206728107
2018-02-27,0.0,0.9964478206728107
2018-02-28,0.0,0.9964478206728107
2018-03-01,0.0,0.9964478206728107
2018-03-02,0.0,0.9964478206728107
2018-03-03,0.0,0.9964478206728107
2018-03-04,0.0,0.9964478206728107
2018-03-05,0.0,0.9964478206728107
2018-03-06,0.0,0.9964478206728107
2018-03-07,0.0,0.9964478206728107
2018-03-08,0.0,0.9964478206728107
2018-03-09,0.0,0.9964478206728107
2018-03-10,0.0,0.9964478206728107
2018-03-11,0.0,0.9964478206728107
2018-03-12,0.0,0.9964478206728107
2018-03-13,0.0,0.9964478206728107
2018-03-14,0.0,0.9964478206728107
2018-03-15,0.0,0.9964478206728107
2018-03-16,0.0,0.9964478206728107
2018-03-17,0.0,0.9964478206728107
2018-03-18,0.0,0.9964478206728107
2018-03-19,0.0,0.9964478206728107
2018-03-20,0.0,0.9964478206728107
2018-03-21,0.0,0.9964478206728107
2018-03-22,0.0,0.9964478206728107
2018-03-23,0.0,0.9964478206728107
2018-03-24,0.0,0.9964478206728107
2018-03-25,0.0,0.9964478206728107
2018-03-26,0.0,0.9964478206728107
2018-03-27,0.0,0.9964478206728107
2018-03-28,0.0,0.9964478206728107
2018-03-29,0.0,0.9964478206728107
2018-03-30,0.0,0.9964478206728107
2018-03-31,0.0,0.9964478206728107
2018-04-01,0.0,0.9964478206728107
2018-04-02,0.0,0.9964478206728107
2018-04-03,0.0,0.9964478206728107
2018-04-04,0.0,0.9964478206728107
2018-04-05,0.0,0.9964478206728107
2018-04-06,0.0,0.9964478206728107
2018-04-07,0.0,0.9964478206728107
2018-04-08,0.0,0.9964478206728107
